"Time","{__name__=""container_memory_failcnt"", container=""vllm-container"", endpoint=""https-metrics"", id=""/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-podba1c70bf_54e7_4f17_9b0a_514c0d00f15a.slice/cri-containerd-a15d013cb6f1f0e68bf36634d5c82e1afa3f52f19b117106e93790c9962405c8.scope"", image=""docker.io/vllm/vllm-openai:latest"", instance=""130.245.126.109:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""a15d013cb6f1f0e68bf36634d5c82e1afa3f52f19b117106e93790c9962405c8"", namespace=""llm-servings"", node=""sunyibm1.fsl.cs.sunysb.edu"", pod=""vllm-granite-nnqn9"", service=""kubelet""}"
2025-12-02 10:45:30,0
2025-12-02 10:45:45,0
2025-12-02 10:46:00,0
2025-12-02 10:46:15,0
2025-12-02 10:46:30,0
2025-12-02 10:46:45,0
2025-12-02 10:47:00,0
2025-12-02 10:47:15,0
2025-12-02 10:47:30,0
2025-12-02 10:47:45,0
2025-12-02 10:48:00,0
2025-12-02 10:48:15,0
2025-12-02 10:48:30,0
2025-12-02 10:48:45,0
2025-12-02 10:49:00,0
2025-12-02 10:49:15,0
2025-12-02 10:49:30,0
2025-12-02 10:49:45,0
2025-12-02 10:50:00,0
2025-12-02 10:50:15,0
2025-12-02 10:50:30,0
2025-12-02 10:50:45,0
2025-12-02 10:51:00,0
2025-12-02 10:51:15,0
2025-12-02 10:51:30,0
2025-12-02 10:51:45,0
2025-12-02 10:52:00,0
2025-12-02 10:52:15,0
2025-12-02 10:52:30,0
2025-12-02 10:52:45,0
2025-12-02 10:53:00,0
2025-12-02 10:53:15,0
2025-12-02 10:53:30,0
2025-12-02 10:53:45,0
2025-12-02 10:54:00,0
2025-12-02 10:54:15,0
