"Time","{__name__=""container_memory_rss"", container=""vllm-container"", endpoint=""https-metrics"", id=""/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod25fccd71_32f7_41fc_a8bc_1ccacc084861.slice/cri-containerd-3a4ffb9903b14b59c3ac630f4eb2d84c95a2f9da234d695148a1eed411a9861e.scope"", image=""docker.io/vllm/vllm-openai:latest"", instance=""130.245.126.109:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""3a4ffb9903b14b59c3ac630f4eb2d84c95a2f9da234d695148a1eed411a9861e"", namespace=""llm-servings"", node=""sunyibm1.fsl.cs.sunysb.edu"", pod=""vllm-llama-mgx7d"", service=""kubelet""}"
2025-12-02 10:23:30,1.95 MiB
2025-12-02 10:23:45,1.95 MiB
2025-12-02 10:24:00,1.03 GiB
2025-12-02 10:24:15,1.03 GiB
2025-12-02 10:24:30,1.76 GiB
2025-12-02 10:24:45,1.76 GiB
2025-12-02 10:25:00,1.59 GiB
2025-12-02 10:25:15,1.59 GiB
2025-12-02 10:25:30,2.34 GiB
2025-12-02 10:25:45,2.34 GiB
2025-12-02 10:26:00,2.34 GiB
2025-12-02 10:26:15,2.34 GiB
2025-12-02 10:26:30,2.34 GiB
2025-12-02 10:26:45,2.34 GiB
2025-12-02 10:27:00,2.34 GiB
2025-12-02 10:27:15,2.34 GiB
2025-12-02 10:27:30,2.34 GiB
2025-12-02 10:27:45,2.34 GiB
2025-12-02 10:28:00,2.34 GiB
2025-12-02 10:28:15,2.34 GiB
2025-12-02 10:28:30,2.34 GiB
2025-12-02 10:28:45,2.34 GiB
2025-12-02 10:29:00,2.34 GiB
2025-12-02 10:29:15,2.34 GiB
2025-12-02 10:29:30,2.34 GiB
2025-12-02 10:29:45,2.34 GiB
2025-12-02 10:30:00,2.34 GiB
2025-12-02 10:30:15,2.34 GiB
2025-12-02 10:30:30,2.34 GiB
2025-12-02 10:30:45,2.34 GiB
2025-12-02 10:31:00,2.34 GiB
